reference	query	s_gene	s_seq	s_start	s_end	s_strand	s_gene_bp	n_hsps	sum_aln_len	sum_nident	identity_pct	distance	in_selected_pairs
AG-426-F11	AG-904-K03	AG-426-F11_00942	AG-426-F11_NODE_11	17746	18618	-	873	1	873	871.00083	99.771	0.00229	1
AG-426-F11	AG-918-B06	AG-426-F11_00942	AG-426-F11_NODE_11	17746	18618	-	873	1	877	749.00185	85.405	0.14595	1
AG-426-F11	AG-904-K03	AG-426-F11_00943	AG-426-F11_NODE_11	18656	19183	+	528	1	528	528.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_00943	AG-426-F11_NODE_11	18656	19183	+	528	1	528	446.99952	84.659	0.15341	1
AG-426-F11	AG-904-K03	AG-426-F11_00946	AG-426-F11_NODE_11	19634	20008	-	375	1	375	373.99875	99.733	0.00267	1
AG-426-F11	AG-918-B06	AG-426-F11_00946	AG-426-F11_NODE_11	19634	20008	-	375	1	342	299.99898	87.719	0.12281	1
AG-426-F11	AG-904-K03	AG-426-F11_00947	AG-426-F11_NODE_11	20015	20197	-	183	1	183	183.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_00947	AG-426-F11_NODE_11	20015	20197	-	183	1	183	162.99993	89.071	0.10929	1
AG-426-F11	AG-904-K03	AG-426-F11_00949	AG-426-F11_NODE_11	20774	21346	+	573	1	573	573.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_00949	AG-426-F11_NODE_11	20774	21346	+	573	1	569	511.00183	89.807	0.10193	1
AG-426-F11	AG-904-K03	AG-426-F11_00950	AG-426-F11_NODE_11	21453	21866	+	414	1	414	412.99812	99.758	0.00242	1
AG-426-F11	AG-918-B06	AG-426-F11_00950	AG-426-F11_NODE_11	21453	21866	+	414	1	402	346.0014	86.07	0.1393	1
AG-426-F11	AG-904-K03	AG-426-F11_00951	AG-426-F11_NODE_11	21867	23132	+	1266	1	1266	1264.99986	99.921	0.00079	1
AG-426-F11	AG-918-B06	AG-426-F11_00951	AG-426-F11_NODE_11	21867	23132	+	1266	1	1265	1089.9999	86.166	0.13834	1
AG-426-F11	AG-904-K03	AG-426-F11_00955	AG-426-F11_NODE_12	1914	2903	+	990	1	990	990.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_00955	AG-426-F11_NODE_12	1914	2903	+	990	1	992	858.00064	86.492	0.13508	1
AG-426-F11	AG-904-K03	AG-426-F11_00956	AG-426-F11_NODE_12	2909	3745	+	837	1	837	837.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_00956	AG-426-F11_NODE_12	2909	3745	+	837	1	837	740.9961	88.53	0.1147	1
AG-426-F11	AG-904-K03	AG-426-F11_00957	AG-426-F11_NODE_12	3742	6402	-	2661	1	2661	2659.98882	99.962	0.00038	1
AG-426-F11	AG-918-B06	AG-426-F11_00957	AG-426-F11_NODE_12	3742	6402	-	2661	1	2661	2467.99767	92.747	0.07253	1
AG-426-F11	AG-904-K03	AG-426-F11_00958	AG-426-F11_NODE_12	6404	8467	-	2064	1	2064	2064.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_00958	AG-426-F11_NODE_12	6404	8467	-	2064	1	2064	1903.008	92.2	0.078	1
AG-426-F11	AG-904-K03	AG-426-F11_00959	AG-426-F11_NODE_12	8467	9339	-	873	1	873	873.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_00959	AG-426-F11_NODE_12	8467	9339	-	873	1	871	806.99892	92.652	0.07348	1
AG-426-F11	AG-904-K03	AG-426-F11_00960	AG-426-F11_NODE_12	9329	10138	-	810	1	810	810.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_00960	AG-426-F11_NODE_12	9329	10138	-	810	1	811	692.9995	85.45	0.1455	1
AG-426-F11	AG-904-K03	AG-426-F11_00961	AG-426-F11_NODE_12	10249	11262	+	1014	1	1014	1014.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_00961	AG-426-F11_NODE_12	10249	11262	+	1014	1	1017	867.00267	85.251	0.14749	1
AG-426-F11	AG-904-K03	AG-426-F11_00962	AG-426-F11_NODE_12	11259	11882	-	624	1	624	624.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_00962	AG-426-F11_NODE_12	11259	11882	-	624	1	623	533.00142	85.554	0.14446	1
AG-426-F11	AG-904-K03	AG-426-F11_00963	AG-426-F11_NODE_12	11915	13000	+	1086	1	1086	1086.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_00963	AG-426-F11_NODE_12	11915	13000	+	1086	1	1086	946.00374	87.109	0.12891	1
AG-426-F11	AG-904-K03	AG-426-F11_00964	AG-426-F11_NODE_12	12997	14910	-	1914	1	1914	1914.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_00964	AG-426-F11_NODE_12	12997	14910	-	1914	1	1917	1644.99687	85.811	0.14189	1
AG-426-F11	AG-904-K03	AG-426-F11_00965	AG-426-F11_NODE_12	14907	15776	-	870	1	870	868.9995	99.885	0.00115	1
AG-426-F11	AG-904-K03	AG-426-F11_00966	AG-426-F11_NODE_12	15757	16011	-	255	1	255	254.0004	99.608	0.00392	1
AG-426-F11	AG-904-K03	AG-426-F11_00967	AG-426-F11_NODE_12	16032	16964	+	933	1	933	933.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00968	AG-426-F11_NODE_12	16961	17698	+	738	1	738	738.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00969	AG-426-F11_NODE_12	17685	18476	+	792	1	792	792.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00971	AG-426-F11_NODE_12	18575	19552	+	978	1	978	978.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00972	AG-426-F11_NODE_12	19599	20489	+	891	1	891	891.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_00972	AG-426-F11_NODE_12	19599	20489	+	891	1	881	760.99899	86.379	0.13621	1
AG-426-F11	AG-904-K03	AG-426-F11_00973	AG-426-F11_NODE_12	20486	21778	-	1293	1	1293	1293.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00974	AG-426-F11_NODE_12	21775	22587	-	813	1	813	812.00001	99.877	0.00123	1
AG-426-F11	AG-918-B06	AG-426-F11_00974	AG-426-F11_NODE_12	21775	22587	-	813	1	795	587.9979	73.962	0.26038	1
AG-426-F11	AG-904-K03	AG-426-F11_00975	AG-426-F11_NODE_12	22589	23119	-	531	1	531	531.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00976	AG-426-F11_NODE_13	750	2921	+	2172	1	2172	2172.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00977	AG-426-F11_NODE_13	2903	3658	+	756	1	756	756.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00978	AG-426-F11_NODE_13	3655	4575	+	921	1	921	919.99611	99.891	0.00109	1
AG-426-F11	AG-904-K03	AG-426-F11_00979	AG-426-F11_NODE_13	4572	4997	+	426	1	426	426.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00980	AG-426-F11_NODE_13	4984	6819	+	1836	1	1836	1836.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00981	AG-426-F11_NODE_13	6816	7400	+	585	1	585	583.99965	99.829	0.00171	1
AG-426-F11	AG-904-K03	AG-426-F11_00982	AG-426-F11_NODE_13	7397	8281	-	885	1	885	883.99995	99.887	0.00113	1
AG-426-F11	AG-904-K03	AG-426-F11_00983	AG-426-F11_NODE_13	8343	8786	+	444	1	444	444.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00984	AG-426-F11_NODE_13	8773	9450	+	678	1	678	678.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00985	AG-426-F11_NODE_13	9431	10747	+	1317	1	1317	1317.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00986	AG-426-F11_NODE_13	10728	10970	-	243	1	243	243.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00987	AG-426-F11_NODE_13	11021	11806	+	786	1	786	786.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00988	AG-426-F11_NODE_13	11778	12860	+	1083	1	1083	1083.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00989	AG-426-F11_NODE_13	12860	13612	+	753	1	753	753.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00990	AG-426-F11_NODE_13	13627	14559	+	933	1	933	933.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00991	AG-426-F11_NODE_13	14602	15318	+	717	1	717	717.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00992	AG-426-F11_NODE_13	15354	15914	+	561	1	561	560.00142	99.822	0.00178	1
AG-426-F11	AG-904-K03	AG-426-F11_00993	AG-426-F11_NODE_13	15915	16991	+	1077	1	1077	1077.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00994	AG-426-F11_NODE_13	16968	17753	-	786	1	786	785.00178	99.873	0.00127	1
AG-426-F11	AG-904-K03	AG-426-F11_00995	AG-426-F11_NODE_13	17750	19018	-	1269	1	1269	1269.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00996	AG-426-F11_NODE_13	19028	19546	-	519	1	519	517.99833	99.807	0.00193	1
AG-426-F11	AG-904-K03	AG-426-F11_00997	AG-426-F11_NODE_13	19611	20105	+	495	1	495	495.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00998	AG-426-F11_NODE_14	165	521	+	357	1	315	315.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_00999	AG-426-F11_NODE_14	518	922	-	405	1	405	405.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01000	AG-426-F11_NODE_14	1045	3120	+	2076	1	2076	2074.00704	99.904	0.00096	1
AG-426-F11	AG-918-B06	AG-426-F11_01000	AG-426-F11_NODE_14	1045	3120	+	2076	1	2078	1755.99312	84.504	0.15496	1
AG-426-F11	AG-904-K03	AG-426-F11_01001	AG-426-F11_NODE_14	3221	3667	+	447	1	447	447.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01002	AG-426-F11_NODE_14	3705	4007	-	303	1	303	303.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01003	AG-426-F11_NODE_14	4147	5646	+	1500	1	1500	1500.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01003	AG-426-F11_NODE_14	4147	5646	+	1500	1	1500	1252.995	83.533	0.16467	1
AG-426-F11	AG-904-K03	AG-426-F11_01004	AG-426-F11_NODE_14	5639	6712	+	1074	1	1074	1074.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01004	AG-426-F11_NODE_14	5639	6712	+	1074	1	1075	935.00275	86.977	0.13023	1
AG-426-F11	AG-904-K03	AG-426-F11_01005	AG-426-F11_NODE_14	6702	7634	+	933	1	933	933.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01005	AG-426-F11_NODE_14	6702	7634	+	933	1	933	790.9974	84.78	0.1522	1
AG-426-F11	AG-904-K03	AG-426-F11_01006	AG-426-F11_NODE_14	7723	8787	+	1065	1	1065	1065.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01006	AG-426-F11_NODE_14	7723	8787	+	1065	1	1065	920.00025	86.385	0.13615	1
AG-426-F11	AG-904-K03	AG-426-F11_01007	AG-426-F11_NODE_14	8838	9362	-	525	1	525	524.0025	99.81	0.0019	1
AG-426-F11	AG-918-B06	AG-426-F11_01007	AG-426-F11_NODE_14	8838	9362	-	525	1	519	427.99854	82.466	0.17534	1
AG-426-F11	AG-904-K03	AG-426-F11_01008	AG-426-F11_NODE_14	9406	9696	+	291	1	291	291.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01009	AG-426-F11_NODE_14	9751	10038	+	288	1	288	288.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01009	AG-426-F11_NODE_14	9751	10038	+	288	1	280	240.9988	86.071	0.13929	1
AG-426-F11	AG-904-K03	AG-426-F11_01010	AG-426-F11_NODE_14	10035	10658	-	624	1	624	623.0016	99.84	0.0016	1
AG-426-F11	AG-904-K03	AG-426-F11_01011	AG-426-F11_NODE_14	10651	11532	-	882	1	882	881.00334	99.887	0.00113	1
AG-426-F11	AG-918-B06	AG-426-F11_01011	AG-426-F11_NODE_14	10651	11532	-	882	1	885	703.9998	79.548	0.20452	1
AG-426-F11	AG-904-K03	AG-426-F11_01012	AG-426-F11_NODE_14	11567	12010	+	444	1	444	444.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01013	AG-426-F11_NODE_14	12012	12827	+	816	1	816	816.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01014	AG-426-F11_NODE_14	12830	13750	+	921	1	921	921.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01015	AG-426-F11_NODE_14	14816	14983	-	168	1	168	168.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01017	AG-426-F11_NODE_15	89	565	+	477	1	477	477.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01018	AG-426-F11_NODE_15	562	1836	-	1275	1	1275	1274.0055	99.922	0.00078	1
AG-426-F11	AG-904-K03	AG-426-F11_01020	AG-426-F11_NODE_15	1946	2794	-	849	1	849	849.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01021	AG-426-F11_NODE_15	2798	4471	-	1674	1	1674	1672.9956	99.94	0.0006	1
AG-426-F11	AG-904-K03	AG-426-F11_01022	AG-426-F11_NODE_15	4482	5186	+	705	1	705	705.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01023	AG-426-F11_NODE_15	5328	5906	+	579	1	579	577.99833	99.827	0.00173	1
AG-426-F11	AG-904-K03	AG-426-F11_01024	AG-426-F11_NODE_15	5982	7055	+	1074	1	1074	1074.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01025	AG-426-F11_NODE_15	7052	8182	-	1131	1	1131	1131.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01026	AG-426-F11_NODE_15	8187	9173	-	987	1	987	987.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01027	AG-426-F11_NODE_15	9174	9653	+	480	1	480	480.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01028	AG-426-F11_NODE_15	9650	10231	+	582	1	582	582.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01029	AG-426-F11_NODE_15	10240	12813	+	2574	1	2574	2574.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01030	AG-426-F11_NODE_15	12818	13093	+	276	1	276	276.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01031	AG-426-F11_NODE_16	205	864	-	660	1	660	660.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01031	AG-426-F11_NODE_16	205	864	-	660	1	662	549.00322	82.931	0.17069	1
AG-426-F11	AG-904-K03	AG-426-F11_01032	AG-426-F11_NODE_16	881	1591	+	711	1	711	711.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01033	AG-426-F11_NODE_16	1586	2173	-	588	1	588	588.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01033	AG-426-F11_NODE_16	1586	2173	-	588	1	587	514.99858	87.734	0.12266	1
AG-426-F11	AG-904-K03	AG-426-F11_01034	AG-426-F11_NODE_16	2210	2887	+	678	1	678	678.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01034	AG-426-F11_NODE_16	2210	2887	+	678	1	678	576.00168	84.956	0.15044	1
AG-426-F11	AG-904-K03	AG-426-F11_01035	AG-426-F11_NODE_16	2889	3080	-	192	1	192	192.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01036	AG-426-F11_NODE_16	3168	4004	+	837	1	837	837.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01036	AG-426-F11_NODE_16	3168	4004	+	837	1	837	729.00189	87.097	0.12903	1
AG-426-F11	AG-904-K03	AG-426-F11_01037	AG-426-F11_NODE_16	4049	5887	+	1839	1	1839	1839.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01037	AG-426-F11_NODE_16	4049	5887	+	1839	1	1841	1602.99552	87.072	0.12928	1
AG-426-F11	AG-904-K03	AG-426-F11_01038	AG-426-F11_NODE_16	5897	6607	+	711	1	711	711.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01038	AG-426-F11_NODE_16	5897	6607	+	711	1	713	590.00037	82.749	0.17251	1
AG-426-F11	AG-904-K03	AG-426-F11_01039	AG-426-F11_NODE_16	6616	6975	+	360	1	360	360.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01040	AG-426-F11_NODE_16	6977	7240	+	264	1	264	264.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01040	AG-426-F11_NODE_16	6977	7240	+	264	1	263	229.99876	87.452	0.12548	1
AG-426-F11	AG-904-K03	AG-426-F11_01041	AG-426-F11_NODE_16	7243	8157	+	915	1	915	914.00265	99.891	0.00109	1
AG-426-F11	AG-918-B06	AG-426-F11_01041	AG-426-F11_NODE_16	7243	8157	+	915	1	916	796.004	86.9	0.131	1
AG-426-F11	AG-904-K03	AG-426-F11_01042	AG-426-F11_NODE_16	8199	9569	+	1371	1	1371	1369.99917	99.927	0.00073	1
AG-426-F11	AG-918-B06	AG-426-F11_01042	AG-426-F11_NODE_16	8199	9569	+	1371	1	1372	1210.9958	88.265	0.11735	1
AG-426-F11	AG-904-K03	AG-426-F11_01043	AG-426-F11_NODE_16	9566	10051	+	486	1	486	486.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01043	AG-426-F11_NODE_16	9566	10051	+	486	1	461	409.99957	88.937	0.11063	1
AG-426-F11	AG-904-K03	AG-426-F11_01044	AG-426-F11_NODE_16	10092	10439	+	348	1	348	348.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01045	AG-426-F11_NODE_16	10470	10898	-	429	1	429	429.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01046	AG-426-F11_NODE_16	10898	11863	-	966	1	966	964.99536	99.896	0.00104	1
AG-426-F11	AG-918-B06	AG-426-F11_01046	AG-426-F11_NODE_16	10898	11863	-	966	1	966	858.99618	88.923	0.11077	1
AG-426-F11	AG-904-K03	AG-426-F11_01047	AG-426-F11_NODE_16	11863	12807	-	945	1	945	945.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01047	AG-426-F11_NODE_16	11863	12807	-	945	1	945	864.00405	91.429	0.08571	1
AG-426-F11	AG-904-K03	AG-426-F11_01048	AG-426-F11_NODE_16	12797	12970	-	174	1	174	174.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01048	AG-426-F11_NODE_16	12797	12970	-	174	1	174	158.99946	91.379	0.08621	1
AG-426-F11	AG-904-K03	AG-426-F11_01049	AG-426-F11_NODE_17	2390	2671	+	282	1	282	282.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01050	AG-426-F11_NODE_17	3430	4671	-	1242	1	1242	1240.99398	99.919	0.00081	1
AG-426-F11	AG-918-B06	AG-426-F11_01050	AG-426-F11_NODE_17	3430	4671	-	1242	1	362	312.99968	86.464	0.13536	1
AG-426-F11	AG-904-K03	AG-426-F11_01051	AG-426-F11_NODE_17	4745	5875	-	1131	1	375	373.99875	99.733	0.00267	1
AG-426-F11	AG-904-K03	AG-426-F11_01052	AG-426-F11_NODE_17	5872	7818	-	1947	1	1947	1946.00703	99.949	0.00051	1
AG-426-F11	AG-904-K03	AG-426-F11_01054	AG-426-F11_NODE_17	8326	9156	-	831	1	831	831.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01055	AG-426-F11_NODE_17	9174	10199	-	1026	1	1026	1026.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01055	AG-426-F11_NODE_17	9174	10199	-	1026	1	1026	897.99624	87.524	0.12476	1
AG-426-F11	AG-904-K03	AG-426-F11_01056	AG-426-F11_NODE_17	10208	11797	-	1590	1	1590	1588.9983	99.937	0.00063	1
AG-426-F11	AG-918-B06	AG-426-F11_01056	AG-426-F11_NODE_17	10208	11797	-	1590	1	1592	1384.99224	86.997	0.13003	1
AG-426-F11	AG-904-K03	AG-426-F11_01057	AG-426-F11_NODE_17	11888	12781	-	894	1	894	894.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01058	AG-426-F11_NODE_18	30	167	+	138	1	138	138.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01058	AG-426-F11_NODE_18	30	167	+	138	1	129	113.99988	88.372	0.11628	1
AG-426-F11	AG-904-K03	AG-426-F11_01059	AG-426-F11_NODE_18	169	1179	+	1011	1	1011	1011.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01060	AG-426-F11_NODE_18	1166	1780	+	615	1	615	615.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01060	AG-426-F11_NODE_18	1166	1780	+	615	1	620	465.9982	75.161	0.24839	1
AG-426-F11	AG-904-K03	AG-426-F11_01061	AG-426-F11_NODE_18	1777	2337	+	561	1	561	561.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01062	AG-426-F11_NODE_18	2341	3087	+	747	1	747	747.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01063	AG-426-F11_NODE_18	3123	3350	+	228	1	228	228.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01064	AG-426-F11_NODE_18	3350	3919	+	570	1	570	570.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01065	AG-426-F11_NODE_18	3974	4180	+	207	1	207	207.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01065	AG-426-F11_NODE_18	3974	4180	+	207	1	205	181.00065	88.293	0.11707	1
AG-426-F11	AG-904-K03	AG-426-F11_01067	AG-426-F11_NODE_18	4269	4967	-	699	1	699	699.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01068	AG-426-F11_NODE_18	4976	6373	-	1398	1	1398	1398.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01069	AG-426-F11_NODE_18	6373	6681	-	309	1	309	309.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01070	AG-426-F11_NODE_18	6686	7774	-	1089	1	1089	1087.99812	99.908	0.00092	1
AG-426-F11	AG-904-K03	AG-426-F11_01071	AG-426-F11_NODE_18	7898	8023	-	126	1	126	126.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01072	AG-426-F11_NODE_18	7992	8906	-	915	1	915	915.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01074	AG-426-F11_NODE_18	9215	10234	-	1020	1	1020	1020.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01075	AG-426-F11_NODE_18	10224	10550	-	327	1	327	325.99938	99.694	0.00306	1
AG-426-F11	AG-904-K03	AG-426-F11_01076	AG-426-F11_NODE_19	120	872	+	753	1	753	753.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01077	AG-426-F11_NODE_19	869	1432	-	564	1	564	564.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01078	AG-426-F11_NODE_19	1429	2694	-	1266	1	1266	1266.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01079	AG-426-F11_NODE_19	2721	2912	+	192	1	192	192.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01080	AG-426-F11_NODE_19	2915	3775	-	861	1	585	585.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01082	AG-426-F11_NODE_19	4690	5928	-	1239	1	1239	1237.99641	99.919	0.00081	1
AG-426-F11	AG-904-K03	AG-426-F11_01083	AG-426-F11_NODE_19	5928	7670	-	1743	1	1743	1743.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01084	AG-426-F11_NODE_19	7671	8537	-	867	1	867	867.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01085	AG-426-F11_NODE_19	8590	8997	+	408	1	408	408.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01086	AG-426-F11_NODE_19	8987	9958	-	972	1	972	972.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01086	AG-426-F11_NODE_19	8987	9958	-	972	1	974	833.00376	85.524	0.14476	1
AG-426-F11	AG-904-K03	AG-426-F11_01087	AG-426-F11_NODE_19	9955	10677	-	723	1	723	723.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01087	AG-426-F11_NODE_19	9955	10677	-	723	1	721	650.99811	90.291	0.09709	1
AG-426-F11	AG-904-K03	AG-426-F11_01088	AG-426-F11_NODE_20	16	1419	+	1404	1	1404	1404.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01088	AG-426-F11_NODE_20	16	1419	+	1404	1	1405	1211.99515	86.263	0.13737	1
AG-426-F11	AG-904-K03	AG-426-F11_01089	AG-426-F11_NODE_20	1420	2025	+	606	1	606	606.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01089	AG-426-F11_NODE_20	1420	2025	+	606	1	606	526.00194	86.799	0.13201	1
AG-426-F11	AG-904-K03	AG-426-F11_01090	AG-426-F11_NODE_20	2018	3124	+	1107	1	1107	1107.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01090	AG-426-F11_NODE_20	2018	3124	+	1107	1	1108	937.00236	84.567	0.15433	1
AG-426-F11	AG-904-K03	AG-426-F11_01091	AG-426-F11_NODE_20	3151	4914	+	1764	1	1764	1764.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01091	AG-426-F11_NODE_20	3151	4914	+	1764	1	1764	1566.99648	88.832	0.11168	1
AG-426-F11	AG-904-K03	AG-426-F11_01092	AG-426-F11_NODE_20	4916	6544	+	1629	1	1629	1629.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01092	AG-426-F11_NODE_20	4916	6544	+	1629	1	1619	1359.00479	83.941	0.16059	1
AG-426-F11	AG-904-K03	AG-426-F11_01093	AG-426-F11_NODE_20	6595	7704	+	1110	1	1110	1110.0	100.0	0.0	1
AG-426-F11	AG-918-B06	AG-426-F11_01093	AG-426-F11_NODE_20	6595	7704	+	1110	1	1110	989.9979	89.189	0.10811	1
AG-426-F11	AG-904-K03	AG-426-F11_01094	AG-426-F11_NODE_20	7714	8613	-	900	2	898	897.0	99.888641	0.00111359	1
AG-426-F11	AG-904-K03	AG-426-F11_01095	AG-426-F11_NODE_21	446	1009	+	564	1	564	564.0	100.0	0.0	1
AG-426-F11	AG-904-K03	AG-426-F11_01096	AG-426-F11_NODE_21	1011	1940	-	930	1	930	928.0005	99.785	0.00215	1
AG-426-F11	AG-918-B06	AG-426-F11_01096	AG-426-F11_NODE_21	1011	1940	-	930	1	929	784.99571	84.499	0.15501	1
